NameAsset_TagLocationHP Desktop,60150,FLEM-73 (IT Room)
Z440,60040,FLEM-73 (IT Room)
Z440,15103,ITLL-2B38 (Server Room)
,AES-0866,AES
,90151,ITLL-2B38 (Server Room)
,90152,ITLL-2B38 (Server Room)
Checkout NUC for Projects,AES-0656,AES-150 (Electronics Center)
,AES-0865,AES
NUC7 i7,60157,FLEM-73 (IT Room)
Dell Desktop,60050,FLEM-73 (IT Room)
Dell Desktop,60049,FLEM-25 (EEC 3D Printer Room)
Dell Desktop,60051,FLEM-73 (IT Room)
NUC8i7BEH,16730,ECCE-168 (Electronics Fabrication Center)
Optiplex 9010,16741,ITLL-2B38 (Server Room)
,AES-0777,AES
,90148,None
NUC8i7BEH,16728,ITLL-2B38 (Server Room)
,AES-0752,AES
,AES-0725,AES
,AES-0749,AES
,AES-0688,AES
,AES-0693,None
,AES-0735,AES
,AES-0758,AES
AES-EQU-3DP07,AES-0762,AES-141 (Pilot)
AES-EQU-3DP05,AES-0765,AES-141 (Pilot)
,AES-0771,AES
AES-EQU-3DP08,AES-0760,AES-141 (Pilot)
,AES-0766,AES
,AES-0772,AES
AES-EQU-MT01,AES-0768,AES-*** (Material Testing)
AES-EQU-MT02,AES-0773,AES-*** (Material Testing)
AES-EQU-HT01,AES-0677,AES-*** (Engine Test Room)
,AES-0694,AES
AES-EQU-WT01,AES-0721,AES-141 (Pilot)
,AES-0729,AES
3D Touch Stylus,14586,ITLL-2B60 (Module Bay)
3D Touch Stylus,14587,ITLL-2B60 (Module Bay)
3D Touch Stylus,14588,ITLL-2B60 (Module Bay)
Dark Tornado Controller / Joystick,14589,ITLL-2B60 (Module Bay)
NUC7 i7,60154,IdeaForge
NUC7 i7,15355,ITLL-2B38 (Server Room)
NUC7 i7,15319,ITLL-2B38 (Server Room)
ITL-EQU-LCM02,90141,ITLL 3D Printers (1)
NUC8 i7,15373,ITLL-2B38 (Server Room)
ITLL-STF-TENDLE,16699,None
NUC7 i7,90064,ITLL E+ Hallway
NUC7 i7,15297,ITLL-2B38 (Server Room)
NUC5 i7,15316,ITLL-2B38 (Server Room)
NUC7 i7,90144,ITLL-2B38 (Server Room)
NUC5 i7,14785,ECCE-167 (Electronics Center)
NUC5 i7,14751,ITLL-2B38 (Server Room)
NUC5 i7,14756,ECCE-168 (Electronics Fabrication Center)
NUC5 i7,14761,DLC-203 (DLC Conference Room/CTANK)
NUC5 i7,14765,ITLL-2B38 (Server Room)
IDF-NFO-KSK02,14705,FLEM-29 (Electronics Center)
NUC5 i7,14740,ITLL-2B38 (Server Room)
NUC5 i7,14743,ITLL-2B38 (Server Room)
NUC5 i3,15237,ITLL-2B38 (Server Room)
NUC5 i5 ,14454,ECCE-168 (Electronics Fabrication Center)
NUC5 i7,14456,None
Rotary Wheel with Force-Feedback,14583,ITLL-2B60 (Module Bay)
Rotary Wheel with Force-Feedback,14584,ITLL-2B60 (Module Bay)
Rotary Wheel with Force-Feedback,14585,ITLL-2B60 (Module Bay)
NUC8 i7,16713,ITLL-2B38 (Server Room)
